study_id,authors,year,country,sample_size_total,sample_size_control,sample_size_experimental,education_stage,intervention_type,intervention_duration,ai_type,dependent_variable,test_used,results_direction,mean_pre_control,sd_pre_control,mean_post_control,sd_post_control,mean_pre_experimental,sd_pre_experimental,mean_post_experimental,sd_post_experimental
A01.1,"Olugbade, D., et al. (2024)",,尼日利亚,120,60,60,,使用AI聊天机器人'iLearnTech'学习,,,认知负荷,"认知负荷量表 (CLM, 改编自NASA-TLX)",,58.2,11.8,58.7,12.1,57.8,11.5,42.3,11.2
A01.2,"Olugbade, D., et al. (2024)",,尼日利亚,120,60,60,,使用AI聊天机器人'iLearnTech'学习,,,学习成果,基础技术成就测试 (BTAT),,4.3,1.2,6.3,1.4,4.2,1.1,7.8,1.2
A01.3,Olugbade， D. 等人 （2024）,,尼日利亚,120,60,60,,使用AI聊天机器人'iLearnTech'学习,,,学习态度,学生态度调查 （SAS）,,67.9,9.3,67.2,9.1,68.3,9.1,76.5,8.3
A01.4,Olugbade， D. 等人 （2024）,,尼日利亚,120,60,60,,使用AI聊天机器人'iLearnTech'学习,,,知识留存,学生留存测试 （SRT， BTAT的修改版）,,,,5.6,1.5,,,7.2,1.3
A02.1,"Qu, K., et al. (2024)",,香港,96,48,48,,基于知识图谱的学习方法，系统以可视化方式呈现概念及其关系,,,23个项目的后测,NR,,,6.96,2.71,0.743,,,7.38,2.83
A02.2,"Qu, K., et al. (2024)",,香港,96,48,48,,基于知识图谱的学习方法，系统以可视化方式呈现概念及其关系,,,23个项目的后测,NR,,,22.1,7.72,1.758,,,24.52,5.6
A02.3,"Qu, K., et al. (2024)",,香港,96,48,48,,基于知识图谱的学习方法，系统以可视化方式呈现概念及其关系,,,23个项目的后测,NR,,,9.08,5.07,2.616,,,11.5,3.92
A02.4,"Qu, K., et al. (2024)",,香港,96,48,48,,基于知识图谱的学习方法，系统以可视化方式呈现概念及其关系,,,23个项目的后测,NR,,,38.14,11.54,2.667,,,43.4,7.32
A03.1,Quiles-Rodríguez， J. 等人 （2025）,,西班牙,129,66,63,,AI辅助的动态彩色照明（橙、绿、紫）,,,认知过程,Torrance创造力评估,,,,,,,,,
A03.2,Quiles-Rodríguez， J. 等人 （2025）,,西班牙,129,66,63,,AI辅助的动态彩色照明（橙、绿、紫）,,,工具性学习,安达卢西亚地区标准化评估（修改版）,,,,,,,,,
A03.3,Quiles-Rodríguez， J. 等人 （2025）,,西班牙,129,66,63,,AI辅助的动态彩色照明（橙、绿、紫）,,,工具性学习,安达卢西亚地区标准化评估（修改版）,,,,,,,,,
A04.1,Al Ghazali， S. 等人 （2024）,,阿拉伯联合酋长国,39,19,20,,使用ChatGPT作为化学代课教师,,,学习表现,纸笔评估（4个问题）,,,,,,,,,
A05.1,"Hassoulas, A., et al. (2025)",,英国,20,10,10,,技术增强的案例式学习（TEL-CBL），包括沉浸式学习套件、3D解剖软件、VR和生成式AI模拟虚拟病人,,,4个单元后的20项选择题测验,NR,,,49.75,11.48,1.74,,,57.96,9.58
A06.1,"Katona, J., & Katonane Gyonyoru, K. I. (2025)",,匈牙利,122,61,61,,使用ChatGPT的AI驱动自适应编程教学，可动态调整课程和材料,,,前/后测评估,NR,,1.5,6.0,1.55,4.57,5.1,1.45,7.1,1.4
A06.2,"Katona, J., & Katonane Gyonyoru, K. I. (2025)",,匈牙利,122,61,61,,使用ChatGPT的AI驱动自适应编程教学，可动态调整课程和材料,,,自我报告问卷,探索性因素分析(EFA),,,13.0,2.0,5.34,,,16.2,1.4
A06.3,"Katona, J., & Katonane Gyonyoru, K. I. (2025)",,匈牙利,122,61,61,,使用ChatGPT的AI驱动自适应编程教学，可动态调整课程和材料,,,自我报告问卷,探索性因素分析(EFA),,,12.5,1.9,4.87,,,15.8,1.6
A06.4,"Katona, J., & Katonane Gyonyoru, K. I. (2025)",,匈牙利,122,61,61,,使用ChatGPT的AI驱动自适应编程教学，可动态调整课程和材料,,,自我报告问卷,探索性因素分析(EFA),,,13.9,2.1,6.1,,,17.0,1.2
A07.1,"Cao, X. (2024)",,中国,40,20,20,,课外使用Moodle和基于AI的应用（如STEEZY）进行互动式舞蹈学习,,,舞蹈创作创意评定量表,NR,,,2.0,0.25,,,,3.6,0.67
A07.2,"Cao, X. (2024)",,中国,40,20,20,,课外使用Moodle和基于AI的应用（如STEEZY）进行互动式舞蹈学习,,,舞蹈创作创意评定量表,NR,,,2.44,0.25,,,,3.6,0.25
A07.3,"Cao, X. (2024)",,中国,40,20,20,,课外使用Moodle和基于AI的应用（如STEEZY）进行互动式舞蹈学习,,,舞蹈创作创意评定量表,NR,,,2.89,0.54,,,,3.9,0.1
A07.4,"Cao, X. (2024)",,中国,40,20,20,,课外使用Moodle和基于AI的应用（如STEEZY）进行互动式舞蹈学习,,,舞蹈创作创意评定量表,NR,,,3.0,0.1,,,,3.9,0.67
A07.5,"Cao, X. (2024)",,中国,40,20,20,,课外使用Moodle和基于AI的应用（如STEEZY）进行互动式舞蹈学习,,,舞蹈创作创意评定量表,NR,,,3.44,0.5,,,,3.9,0.1
A07.6,"Cao, X. (2024)",,中国,40,20,20,,课外使用Moodle和基于AI的应用（如STEEZY）进行互动式舞蹈学习,,,舞蹈创作创意评定量表,NR,,,3.67,0.22,,,,3.8,0.17
A08.1,"Alneyadi, S., & Wardat, Y. (2023)",,阿拉伯联合酋长国,122,64,58,,指导学生在需要课程内容辅助时使用ChatGPT,,,前/后测（25项选择题）,专家评审,,1.47,8.51,1.54,,8.77,1.76,14.55,2.37
A08.2,"Alneyadi, S., & Wardat, Y. (2023)",,阿拉伯联合酋长国,122,64,58,,指导学生在需要课程内容辅助时使用ChatGPT,,,前/后测（25项选择题）,专家评审,,2.81,16.39,2.75,,16.83,2.91,23.69,3.88
