study_id,authors,year,country,sample_size_total,sample_size_control,sample_size_experimental,education_stage,intervention_type,intervention_duration,ai_type,dependent_variable,test_used,results_direction,mean_pre_control,sd_pre_control,mean_post_control,sd_post_control,mean_pre_experimental,sd_pre_experimental,mean_post_experimental,sd_post_experimental
A01.1,"Olugbade, D., et al. (2024)",,Nigeria,120,60,60,,Learning using the AI chatbot 'iLearnTech',,,Cognitive Load,"Cognitive Load Scale (CLM, adapted from NASA-TLX)",,58.2,11.8,58.7,12.1,57.8,11.5,42.3,11.2
A01.2,"Olugbade, D., et al. (2024)",,Nigeria,120,60,60,,Learning using the AI chatbot 'iLearnTech',,,Learning Outcomes,Basic Technology Achievement Test (BTAT),,4.3,1.2,6.3,1.4,4.2,1.1,7.8,1.2
A01.3,"Olugbade, D., et al. (2024)",,Nigeria,120,60,60,,Learning using the AI chatbot 'iLearnTech',,,Learning Attitude,Student Attitude Survey （SAS）,,67.9,9.3,67.2,9.1,68.3,9.1,76.5,8.3
A01.4,"Olugbade, D., et al. (2024)",,Nigeria,120,60,60,,Learning using the AI chatbot 'iLearnTech',,,Knowledge Retention,"Student Retention Test (SRT, a modified version of BTAT)",,,,5.6,1.5,,,7.2,1.3
A02.1,"Qu, K., et al. (2024)",,Hong Kong,96,48,48,,"Knowledge graph-based learning method, where the system visualizes concepts and their relationships",,,23-item post-test,NR,,,6.96,2.71,0.743,,,7.38,2.83
A02.2,"Qu, K., et al. (2024)",,Hong Kong,96,48,48,,"Knowledge graph-based learning method, where the system visualizes concepts and their relationships",,,23-item post-test,NR,,,22.1,7.72,1.758,,,24.52,5.6
A02.3,"Qu, K., et al. (2024)",,Hong Kong,96,48,48,,"Knowledge graph-based learning method, where the system visualizes concepts and their relationships",,,23-item post-test,NR,,,9.08,5.07,2.616,,,11.5,3.92
A02.4,"Qu, K., et al. (2024)",,Hong Kong,96,48,48,,"Knowledge graph-based learning method, where the system visualizes concepts and their relationships",,,23-item post-test,NR,,,38.14,11.54,2.667,,,43.4,7.32
A03.1,"Quiles-Rodríguez, J. et al. (2025)",,Spain,129,66,63,,"AI-assisted dynamic colored lighting (orange, green, purple)",,,Cognitive Process,Torrance Tests of Creative Thinking,,,,,,,,,
A03.2,"Quiles-Rodríguez, J. et al. (2025)",,Spain,129,66,63,,"AI-assisted dynamic colored lighting (orange, green, purple)",,,Instrumental Learning,Andalusian Regional Standardized Assessment (Modified),,,,,,,,,
A03.3,"Quiles-Rodríguez, J. et al. (2025)",,Spain,129,66,63,,"AI-assisted dynamic colored lighting (orange, green, purple)",,,Instrumental Learning,Andalusian Regional Standardized Assessment (Modified),,,,,,,,,
A04.1,"Al Ghazali, S., et al. (2024)",,UAE,39,19,20,,Using ChatGPT as a substitute chemistry teacher,,,Learning Performance,Paper-and-pencil Assessment (4 questions),,,,,,,,,
A05.1,"Hassoulas, A., et al. (2025)",,UK,20,10,10,,"Technology-Enhanced Case-Based Learning (TEL-CBL), including immersive learning suites, 3D anatomy software, VR, and generative AI simulated virtual patients",,,20-item multiple-choice test after 4 units,NR,,,49.75,11.48,1.74,,,57.96,9.58
A06.1,"Katona, J., & Katonane Gyonyoru, K. I. (2025)",,Hungary,122,61,61,,"AI-driven adaptive programming teaching using ChatGPT, dynamically adjusting courses and materials",,,Pre/Post-test Assessment,NR,,1.5,6,1.55,4.57,5.1,1.45,7.1,1.4
A06.2,"Katona, J., & Katonane Gyonyoru, K. I. (2025)",,Hungary,122,61,61,,"AI-driven adaptive programming teaching using ChatGPT, dynamically adjusting courses and materials",,,Self-report Questionnaire,Exploratory Factor Analysis (EFA),,,13,2,5.34,,,16.2,1.4
A06.3,"Katona, J., & Katonane Gyonyoru, K. I. (2025)",,Hungary,122,61,61,,"AI-driven adaptive programming teaching using ChatGPT, dynamically adjusting courses and materials",,,Self-report Questionnaire,Exploratory Factor Analysis (EFA),,,12.5,1.9,4.87,,,15.8,1.6
A06.4,"Katona, J., & Katonane Gyonyoru, K. I. (2025)",,Hungary,122,61,61,,"AI-driven adaptive programming teaching using ChatGPT, dynamically adjusting courses and materials",,,Self-report Questionnaire,Exploratory Factor Analysis (EFA),,,13.9,2.1,6.1,,,17,1.2
A07.1,"Cao, X. (2024)",,China,40,20,20,,"Extracurricular interactive dance learning using Moodle and AI-based apps (e.g., STEEZY)",,,Dance Creation Creativity Rating Scale,NR,,,2,0.25,,,,3.6,0.67
A07.2,"Cao, X. (2024)",,China,40,20,20,,"Extracurricular interactive dance learning using Moodle and AI-based apps (e.g., STEEZY)",,,Dance Creation Creativity Rating Scale,NR,,,2.44,0.25,,,,3.6,0.25
A07.3,"Cao, X. (2024)",,China,40,20,20,,"Extracurricular interactive dance learning using Moodle and AI-based apps (e.g., STEEZY)",,,Dance Creation Creativity Rating Scale,NR,,,2.89,0.54,,,,3.9,0.1
A07.4,"Cao, X. (2024)",,China,40,20,20,,"Extracurricular interactive dance learning using Moodle and AI-based apps (e.g., STEEZY)",,,Dance Creation Creativity Rating Scale,NR,,,3,0.1,,,,3.9,0.67
A07.5,"Cao, X. (2024)",,China,40,20,20,,"Extracurricular interactive dance learning using Moodle and AI-based apps (e.g., STEEZY)",,,Dance Creation Creativity Rating Scale,NR,,,3.44,0.5,,,,3.9,0.1
A07.6,"Cao, X. (2024)",,China,40,20,20,,"Extracurricular interactive dance learning using Moodle and AI-based apps (e.g., STEEZY)",,,Dance Creation Creativity Rating Scale,NR,,,3.67,0.22,,,,3.8,0.17
A08.1,"Alneyadi, S., & Wardat, Y. (2023)",,UAE,122,64,58,,Guiding students to use ChatGPT when needing course content assistance,,,Pre/Post-test (25 multiple-choice questions),Expert Review,,1.47,8.51,1.54,,8.77,1.76,14.55,2.37
A08.2,"Alneyadi, S., & Wardat, Y. (2023)",,UAE,122,64,58,,Guiding students to use ChatGPT when needing course content assistance,,,Pre/Post-test (25 multiple-choice questions),Expert Review,,2.81,16.39,2.75,,16.83,2.91,23.69,3.88
A08.3,"Alneyadi, S., & Wardat, Y. (2023)",,UAE,122,64,58,,Guiding students to use ChatGPT when needing course content assistance,,,Pre/Post-test (25 multiple-choice questions),Expert Review,,2.12,11.43,2.11,,11.92,2.17,16.31,2.97
A08.4,"Alneyadi, S., & Wardat, Y. (2023)",,UAE,122,64,58,,Guiding students to use ChatGPT when needing course content assistance,,,Pre/Post-test (25 multiple-choice questions),Expert Review,,5.72,61.95,5.43,,59.62,5.68,67.49,5.69
A09.1,"Mykytiuk, S., et al. (2025)",,Ukraine,114,56,58,,"Students create their own digital multimedia content (infographics, posters, videos) using structured AI-assisted methods",,,Pre/Post-test,NR,,0.7,7.2,0.727,-3.15,6.8,0.69,7.6,0.632
A09.2,"Mykytiuk, S., et al. (2025)",,Ukraine,114,56,58,,"Students create their own digital multimedia content (infographics, posters, videos) using structured AI-assisted methods",,,Pre/Post-test,NR,,0.71,22.9,0.685,-2.033,22.2,0.69,23.1,0.684
A09.3,"Mykytiuk, S., et al. (2025)",,Ukraine,114,56,58,,"Students create their own digital multimedia content (infographics, posters, videos) using structured AI-assisted methods",,,Pre/Post-test,NR,,0.68,13.6,0.725,-2.19,13.3,0.67,13.9,0.739
A09.4,"Mykytiuk, S., et al. (2025)",,Ukraine,114,56,58,,"Students create their own digital multimedia content (infographics, posters, videos) using structured AI-assisted methods",,,Pre/Post-test,NR,,0.65,13.8,0.681,-2.308,13.1,0.64,14.1,0.711
A09.5,"Mykytiuk, S., et al. (2025)",,Ukraine,114,56,58,,"Students create their own digital multimedia content (infographics, posters, videos) using structured AI-assisted methods",,,Pre/Post-test,NR,,0.6,13.3,0.622,-5.085,12.9,0.61,13.8,0.638
A10.1,"Tracy, K., & Spantidi, O. (2025)",,USA,52,26,26,,"In the VR classroom, besides the preset virtual teacher, a GPT-driven AI teaching assistant is added, allowing students to ask questions freely.",,,Knowledge Retention,Bubble Sort Algorithm Quiz,,,,2.88,1.77,,,2.5,1.63
A10.2,"Tracy, K., & Spantidi, O. (2025)",,USA,52,26,26,,"In the VR classroom, besides the preset virtual teacher, a GPT-driven AI teaching assistant is added, allowing students to ask questions freely.",,,Cognitive Load,Cognitive Load Scale,,,,,,,,,
A10.3,"Tracy, K., & Spantidi, O. (2025)",,USA,52,26,26,,"In the VR classroom, besides the preset virtual teacher, a GPT-driven AI teaching assistant is added, allowing students to ask questions freely.",,,Cognitive Load,Cognitive Load Scale,,,,,,,,,
A10.4,"Tracy, K., & Spantidi, O. (2025)",,USA,52,26,26,,"In the VR classroom, besides the preset virtual teacher, a GPT-driven AI teaching assistant is added, allowing students to ask questions freely.",,,Cognitive Load,Cognitive Load Scale,,,,,,,,,
A10.5,"Tracy, K., & Spantidi, O. (2025)",,USA,52,26,26,,"In the VR classroom, besides the preset virtual teacher, a GPT-driven AI teaching assistant is added, allowing students to ask questions freely.",,,Engagement,Likert Scale Questionnaire,,,,,,,,,
A11.1,"Varas, J., Belmar, F., Fuentes, J., et al. (2024)",,Chile,103,60,43,,"Two 20-minute unsupervised simulation training sessions, receiving remote asynchronous feedback via an online platform.",,,Clinical Operation Skills,OSATS Scale,,,,,,,,,
A11.2,"Varas, J., Belmar, F., Fuentes, J., et al. (2024)",,Chile,103,60,43,,"Two 20-minute unsupervised simulation training sessions, receiving remote asynchronous feedback via an online platform.",,,Clinical Operation Skills,OSATS Scale,,,,,,,,,
A12.1,"Alneyadi, S., & Wardat, Y. (2024)",,UAE,112,57,55,,Teaching activities assisted by ChatGPT.,,,Student Academic Achievement,Quantum Theory Test,,8.46,1.68,10.63,1.79,8.99,1.9,15.55,2.55
A12.2,"Alneyadi, S., & Wardat, Y. (2024)",,UAE,112,57,55,,Teaching activities assisted by ChatGPT.,,,Student Academic Achievement,Quantum Theory Test,,15.33,2.91,16.89,2.86,17.93,2.89,25.49,3.77
A12.3,"Alneyadi, S., & Wardat, Y. (2024)",,UAE,112,57,55,,Teaching activities assisted by ChatGPT.,,,Student Academic Achievement,Quantum Theory Test,,9.62,2.15,11.73,2.99,12.82,2.39,17.51,3.71
A12.4,"Alneyadi, S., & Wardat, Y. (2024)",,UAE,112,57,55,,Teaching activities assisted by ChatGPT.,,,Student Academic Achievement,Quantum Theory Test,,57.52,5.62,61.98,5.66,59.74,5.98,68.55,5.89
A13.1,"Vicente, L., Matute, H., Fregosi, C., & Cabitza, F. (2025)",,Spain,86,43,43,,Diagnostic advice is provided by an AI system that makes systematic errors on specific types of cases in a simulated tissue sample classification task.,,,Decision Accuracy,Researcher-designed classification task,,,,0.01,,,,0.26,
